学号	志愿类型	GPA	平均绩点排名
13060	第三志愿	4.08	1
18091	第三志愿	4.03	3
19975	第三志愿	3.99	6
21250	第一志愿	3.97	7
22684	第三志愿	3.89	12
18559	第五志愿	3.84	14
12982	第二志愿	3.82	17
17311	第五志愿	3.8	18
13099	第二志愿	3.8	18
20002	第一志愿	3.77	21
19618	第四志愿	3.74	25
13951	第二志愿	3.72	27
12571	第五志愿	3.71	28
18838	第二志愿	3.7	30
11971	第四志愿	3.7	30
15226	第五志愿	3.69	32
11899	第一志愿	3.68	35
17278	第四志愿	3.66	38
19879	第三志愿	3.65	39
17068	第二志愿	3.62	41
24091	第二志愿	3.58	50
11686	第二志愿	3.58	50
20005	第五志愿	3.56	54
11950	第四志愿	3.56	54
21988	第四志愿	3.55	58
19966	第四志愿	3.55	58
16525	第一志愿	3.55	58
24193	第四志愿	3.54	63
21247	第三志愿	3.53	65
11800	第四志愿	3.53	65
16792	第二志愿	3.52	67
12985	第三志愿	3.52	67
7519	第四志愿	3.52	67
15631	第四志愿	3.51	71
11875	第四志愿	3.5	72
12070	第二志愿	3.49	73
8038	第四志愿	3.49	73
20404	第二志愿	3.48	78
11905	第五志愿	3.47	79
22699	第四志愿	3.46	84
16006	第五志愿	3.46	84
15691	第三志愿	3.46	84
21259	第三志愿	3.42	93
12058	第四志愿	3.42	93
8062	第三志愿	3.42	93
23749	第五志愿	3.41	98
13750	第四志愿	3.41	98
11959	第三志愿	3.41	98
15661	第五志愿	3.37	104
13096	第一志愿	3.37	104
11920	第五志愿	3.37	104
17296	第三志愿	3.34	113
11860	第二志愿	3.34	113
13732	第二志愿	3.33	116
19312	第五志愿	3.31	118
8035	第四志愿	3.31	118
13582	第五志愿	3.3	122
20923	第三志愿	3.29	124
18574	第二志愿	3.29	124
18529	第二志愿	3.29	124
13990	第二志愿	3.29	124
12457	第三志愿	3.29	124
11923	第三志愿	3.29	124
15688	第四志愿	3.28	130
18547	第三志愿	3.27	132
11953	第四志愿	3.26	133
22687	第四志愿	3.25	134
18517	第四志愿	3.24	135
12574	第一志愿	3.23	136
23176	第三志愿	3.2	140
17275	第三志愿	3.2	140
21991	第三志愿	3.19	142
18097	第二志愿	3.17	145
11887	第一志愿	3.17	145
22933	第一志愿	3.14	152
20689	第一志愿	3.14	152
21985	第二志愿	3.13	155
19972	第二志愿	3.13	155
18544	第四志愿	3.13	155
18535	第三志愿	3.13	155
13753	第一志愿	3.13	155
11863	第三志愿	3.13	155
19960	第五志愿	3.12	162
15658	第二志愿	3.11	164
12013	第四志愿	3.11	164
11908	第三志愿	3.11	164
12052	第三志愿	3.1	167
17284	第一志愿	3.09	170
16549	第一志愿	3.09	170
21244	第三志愿	3.07	177
19993	第五志愿	3.06	179
19978	第五志愿	3.06	179
8053	第五志愿	3.06	179
18583	第四志愿	3.05	183
12004	第三志愿	3.05	183
24784	第五志愿	3.04	186
17734	第三志愿	3.04	186
8599	第三志愿	3.04	186
16552	第三志愿	3.03	189
13645	第四志愿	3	190
17266	第三志愿	2.99	191
12067	第五志愿	2.99	191
11902	第一志愿	2.99	191
11851	第二志愿	2.99	191
19945	第五志愿	2.98	200
18565	第三志愿	2.97	202
8020	第二志愿	2.97	202
22744	第一志愿	2.96	205
11956	第三志愿	2.96	205
23425	第五志愿	2.95	207
20935	第二志愿	2.95	207
11992	第三志愿	2.94	209
11944	第四志愿	2.94	209
22924	第三志愿	2.93	211
13957	第四志愿	2.93	211
11839	第二志愿	2.93	211
7321	第四志愿	2.92	217
22681	第三志愿	2.91	219
17272	第二志愿	2.91	219
11884	第二志愿	2.89	221
7606	第二志愿	2.89	221
13600	第五志愿	2.88	227
8263	第四志愿	2.86	229
13066	第一志愿	2.84	231
21979	第一志愿	2.83	233
21553	第二志愿	2.83	233
19309	第二志愿	2.83	233
17260	第二志愿	2.83	233
11947	第三志愿	2.83	233
22000	第三志愿	2.82	238
21994	第二志愿	2.82	238
12577	第三志愿	2.82	238
11995	第二志愿	2.82	238
11983	第二志愿	2.82	238
19999	第五志愿	2.81	243
14596	第二志愿	2.81	243
11986	第五志愿	2.81	243
6727	第三志愿	2.79	248
14602	第四志愿	2.77	249
21679	第二志愿	2.76	250
19984	第二志愿	2.76	250
17299	第二志愿	2.76	250
23416	第一志愿	2.75	254
18523	第四志愿	2.75	254
14587	第四志愿	2.75	254
13102	第四志愿	2.75	254
23413	第四志愿	2.74	258
14584	第四志愿	2.74	258
18562	第一志愿	2.73	261
11935	第五志愿	2.73	261
11890	第四志愿	2.73	261
20578	第二志愿	2.71	265
11968	第四志愿	2.71	265
8041	第二志愿	2.71	265
22927	第四志愿	2.7	271
16534	第三志愿	2.7	271
11932	第二志愿	2.7	271
11866	第四志愿	2.7	271
8047	第一志愿	2.7	271
8059	第三志愿	2.69	277
7333	第四志愿	2.69	277
7330	第一志愿	2.69	277
13069	第三志愿	2.68	281
11974	第五志愿	2.68	281
8050	第二志愿	2.68	281
20926	第四志愿	2.67	286
21682	第一志愿	2.66	287
21550	第五志愿	2.66	287
14581	第三志愿	2.66	287
8257	第二志愿	2.65	290
17290	第四志愿	2.64	293
8029	第三志愿	2.63	295
6598	第五志愿	2.63	295
21688	第四志愿	2.61	298
20503	第五志愿	2.61	298
16189	第一志愿	2.6	300
12034	第四志愿	2.6	300
6586	第一志愿	2.6	300
20764	第一志愿	2.59	303
17308	第五志愿	2.59	303
12064	第三志愿	2.59	303
18568	第三志愿	2.58	306
11878	第四志愿	2.58	306
21241	第一志愿	2.57	308
19987	第五志愿	2.56	310
15649	第五志愿	2.55	311
7327	第四志愿	2.55	311
23410	第二志愿	2.54	313
15643	第五志愿	2.54	313
11929	第四志愿	2.54	313
13795	第一志愿	2.52	317
11941	第五志愿	2.52	317
16003	第五志愿	2.49	320
15040	第一志愿	2.49	320
19996	第一志愿	2.48	322
12010	第三志愿	2.47	324
22930	第四志愿	2.46	325
15652	第五志愿	2.46	325
23755	第五志愿	2.45	327
21253	第四志愿	2.44	328
11836	第一志愿	2.44	328
16558	第五志愿	2.42	330
21673	第三志愿	2.41	331
13108	第一志愿	2.41	331
8245	第二志愿	2.41	331
12016	第三志愿	2.4	335
23752	第五志愿	2.38	338
13072	第四志愿	2.37	339
11842	第一志愿	2.37	339
19267	第二志愿	2.36	341
13993	第五志愿	2.36	341
12040	第五志愿	2.36	341
21256	第五志愿	2.35	344
14593	第一志愿	2.31	348
11962	第一志愿	2.31	348
12031	第三志愿	2.3	350
11854	第一志愿	2.29	353
8605	第五志愿	2.28	355
22012	第三志愿	2.27	356
14578	第二志愿	2.27	356
24133	第五志愿	2.26	358
11833	第五志愿	2.25	360
14575	第三志愿	2.24	361
7324	第一志愿	2.24	361
20422	第五志愿	2.2	364
21676	第五志愿	2.19	365
15676	第四志愿	2.19	365
12037	第四志愿	2.17	367
17305	第三志愿	2.16	369
23758	第二志愿	2.15	370
21685	第三志愿	2.15	370
12049	第五志愿	2.13	372
16009	第四志愿	2.08	373
14020	第四志愿	2.03	374
11848	第五志愿	2.02	375
24136	第二志愿	2.01	377
11896	第五志愿	2.01	377
22756	第一志愿	1.99	379
15640	第五志愿	1.93	382
23746	第四志愿	1.9	383
16186	第四志愿	1.9	383
14599	第五志愿	1.9	383
15664	第二志愿	1.76	387
23173	第四志愿	1.72	389
