学号	志愿类型	GPA	平均绩点排名
13060	第四志愿	4.08	1
15715	第四志愿	4.04	2
18091	第四志愿	4.03	3
19975	第五志愿	3.99	6
21250	第四志愿	3.97	7
17263	第三志愿	3.97	7
15673	第四志愿	3.91	11
22684	第五志愿	3.89	12
14026	第三志愿	3.87	13
19957	第四志愿	3.84	14
18559	第四志愿	3.84	14
20431	第四志愿	3.84	14
12982	第五志愿	3.82	17
13099	第四志愿	3.8	18
17311	第四志愿	3.8	18
13951	第五志愿	3.72	27
16663	第三志愿	3.71	28
12571	第二志愿	3.71	28
18838	第四志愿	3.7	30
17743	第三志愿	3.69	32
17251	第四志愿	3.69	32
11899	第五志愿	3.68	35
13063	第二志愿	3.67	36
17278	第五志愿	3.66	38
19879	第五志愿	3.65	39
17626	第五志愿	3.62	41
17068	第四志愿	3.62	41
15655	第五志愿	3.62	41
13087	第五志愿	3.61	44
15721	第三志愿	3.61	44
24202	第二志愿	3.59	49
11686	第五志愿	3.58	50
19981	第四志愿	3.56	54
11950	第五志愿	3.56	54
20005	第三志愿	3.56	54
21988	第五志愿	3.55	58
16525	第四志愿	3.55	58
19966	第三志愿	3.55	58
20932	第三志愿	3.54	63
11800	第五志愿	3.53	65
7519	第五志愿	3.52	67
22063	第四志愿	3.52	67
11875	第三志愿	3.5	72
16561	第四志愿	3.49	73
23809	第四志愿	3.49	73
19963	第五志愿	3.49	73
12070	第三志愿	3.49	73
8038	第五志愿	3.49	73
20404	第四志愿	3.48	78
19876	第四志愿	3.47	79
11905	第四志愿	3.47	79
15667	第三志愿	3.46	84
22699	第五志愿	3.46	84
16006	第四志愿	3.46	84
15685	第二志愿	3.45	89
17071	第四志愿	3.44	90
12073	第五志愿	3.44	90
21259	第四志愿	3.42	93
12058	第三志愿	3.42	93
16546	第三志愿	3.42	93
8062	第四志愿	3.42	93
23422	第三志愿	3.42	93
23749	第四志愿	3.41	98
11959	第四志愿	3.41	98
13096	第三志愿	3.37	104
22006	第三志愿	3.37	104
15661	第三志愿	3.37	104
18526	第四志愿	3.36	110
18580	第三志愿	3.35	111
13084	第三志愿	3.35	111
17296	第一志愿	3.34	113
13078	第五志愿	3.32	117
11845	第一志愿	3.31	118
8035	第五志愿	3.31	118
13057	第四志愿	3.31	118
19312	第四志愿	3.31	118
18445	第五志愿	3.3	122
13582	第四志愿	3.3	122
11923	第四志愿	3.29	124
18529	第四志愿	3.29	124
13990	第四志愿	3.29	124
20923	第四志愿	3.29	124
12457	第五志愿	3.29	124
15688	第三志愿	3.28	130
11953	第五志愿	3.26	133
18517	第三志愿	3.24	135
22795	第五志愿	3.23	136
12574	第三志愿	3.23	136
12820	第四志愿	3.22	138
17257	第四志愿	3.22	138
23176	第五志愿	3.2	140
17275	第五志愿	3.2	140
16075	第二志愿	3.19	142
21991	第四志愿	3.19	142
18532	第四志愿	3.19	142
21748	第三志愿	3.17	145
17287	第三志愿	3.17	145
11887	第五志愿	3.17	145
12580	第一志愿	3.15	149
13747	第五志愿	3.15	149
20689	第四志愿	3.14	152
22933	第五志愿	3.14	152
13753	第四志愿	3.13	155
17740	第五志愿	3.13	155
19972	第四志愿	3.13	155
18544	第一志愿	3.13	155
21985	第四志愿	3.13	155
22003	第三志愿	3.12	162
19960	第二志愿	3.12	162
11908	第五志愿	3.11	164
11998	第五志愿	3.1	167
12052	第五志愿	3.1	167
18577	第三志愿	3.1	167
13744	第三志愿	3.09	170
11881	第四志愿	3.09	170
18520	第一志愿	3.09	170
13090	第四志愿	3.09	170
17284	第五志愿	3.09	170
21244	第五志愿	3.07	177
16555	第四志愿	3.06	179
19978	第三志愿	3.06	179
19993	第四志愿	3.06	179
8053	第二志愿	3.06	179
12004	第四志愿	3.05	183
21973	第二志愿	3.05	183
17734	第四志愿	3.04	186
24784	第四志愿	3.04	186
13645	第五志愿	3	190
18571	第三志愿	2.99	191
17293	第三志愿	2.99	191
11851	第三志愿	2.99	191
17266	第二志愿	2.99	191
11902	第五志愿	2.99	191
19945	第四志愿	2.98	200
17635	第五志愿	2.98	200
16183	第一志愿	2.97	202
8020	第三志愿	2.97	202
18565	第五志愿	2.97	202
22744	第四志愿	2.96	205
11956	第五志愿	2.96	205
20935	第三志愿	2.95	207
23425	第三志愿	2.95	207
11992	第五志愿	2.94	209
11944	第二志愿	2.94	209
