学号	志愿类型	GPA	平均绩点排名
22759	第三志愿	2.93	211
13957	第一志愿	2.93	211
11869	第二志愿	2.93	211
21976	第三志愿	2.93	211
11839	第五志愿	2.93	211
22924	第五志愿	2.93	211
7321	第五志愿	2.92	217
11965	第三志愿	2.92	217
17272	第五志愿	2.91	219
22681	第一志愿	2.91	219
11884	第四志愿	2.89	221
11872	第三志愿	2.89	221
22009	第三志愿	2.89	221
7606	第四志愿	2.89	221
21970	第四志愿	2.89	221
13600	第二志愿	2.88	227
8263	第二志愿	2.86	229
16543	第四志愿	2.85	230
13066	第四志愿	2.84	231
11947	第四志愿	2.83	233
21979	第五志愿	2.83	233
21553	第四志愿	2.83	233
17260	第三志愿	2.83	233
19309	第五志愿	2.83	233
12577	第五志愿	2.82	238
11983	第四志愿	2.82	238
22000	第四志愿	2.82	238
21994	第四志愿	2.82	238
19999	第四志愿	2.81	243
11986	第一志愿	2.81	243
18553	第二志愿	2.8	246
11926	第一志愿	2.8	246
14602	第五志愿	2.77	249
17299	第四志愿	2.76	250
21679	第五志愿	2.76	250
19984	第三志愿	2.76	250
22741	第一志愿	2.76	250
13102	第五志愿	2.75	254
14587	第二志愿	2.75	254
23416	第四志愿	2.75	254
18523	第二志愿	2.75	254
14584	第五志愿	2.74	258
24553	第四志愿	2.74	258
23413	第一志愿	2.74	258
11935	第三志愿	2.73	261
19951	第二志愿	2.73	261
18562	第四志愿	2.73	261
11890	第五志愿	2.73	261
8041	第五志愿	2.71	265
11968	第二志愿	2.71	265
7609	第三志愿	2.71	265
15679	第四志愿	2.71	265
20578	第四志愿	2.71	265
11866	第二志愿	2.7	271
12061	第三志愿	2.7	271
22927	第三志愿	2.7	271
8047	第五志愿	2.7	271
11932	第三志愿	2.7	271
16534	第二志愿	2.7	271
8059	第五志愿	2.69	277
7333	第五志愿	2.69	277
12007	第四志愿	2.69	277
8050	第三志愿	2.68	281
13069	第四志愿	2.68	281
12028	第四志愿	2.68	281
11974	第三志愿	2.68	281
11893	第二志愿	2.68	281
20926	第三志愿	2.67	286
21682	第四志愿	2.66	287
14581	第四志愿	2.66	287
21550	第三志愿	2.66	287
21238	第四志愿	2.65	290
8257	第一志愿	2.65	290
17269	第三志愿	2.65	290
18541	第四志愿	2.64	293
12019	第一志愿	2.63	295
6598	第二志愿	2.63	295
8029	第五志愿	2.63	295
21688	第一志愿	2.61	298
20503	第三志愿	2.61	298
6586	第五志愿	2.6	300
16189	第二志愿	2.6	300
12034	第二志愿	2.6	300
20764	第三志愿	2.59	303
17308	第三志愿	2.59	303
12064	第一志愿	2.59	303
11878	第一志愿	2.58	306
18568	第二志愿	2.58	306
21241	第二志愿	2.57	308
11989	第二志愿	2.57	308
19987	第二志愿	2.56	310
7327	第一志愿	2.55	311
15649	第二志愿	2.55	311
23410	第五志愿	2.54	313
8032	第二志愿	2.54	313
11929	第三志愿	2.54	313
15643	第一志愿	2.54	313
11977	第三志愿	2.5	319
16003	第四志愿	2.49	320
15040	第二志愿	2.49	320
8602	第一志愿	2.48	322
19996	第三志愿	2.48	322
22930	第二志愿	2.46	325
15652	第四志愿	2.46	325
23755	第二志愿	2.45	327
11836	第三志愿	2.44	328
21253	第三志愿	2.44	328
16558	第二志愿	2.42	330
21673	第五志愿	2.41	331
16537	第五志愿	2.41	331
8245	第一志愿	2.41	331
13108	第三志愿	2.41	331
14605	第二志愿	2.4	335
11857	第二志愿	2.4	335
12016	第二志愿	2.4	335
23752	第三志愿	2.38	338
11842	第五志愿	2.37	339
13072	第二志愿	2.37	339
13993	第一志愿	2.36	341
19267	第四志愿	2.36	341
12040	第三志愿	2.36	341
11830	第二志愿	2.35	344
21256	第三志愿	2.35	344
23419	第四志愿	2.34	346
8254	第五志愿	2.33	347
11962	第二志愿	2.31	348
14593	第二志愿	2.31	348
12583	第四志愿	2.3	350
12046	第三志愿	2.3	350
12031	第一志愿	2.3	350
11854	第三志愿	2.29	353
8605	第二志愿	2.28	355
14578	第三志愿	2.27	356
22012	第五志愿	2.27	356
21547	第五志愿	2.26	358
24133	第四志愿	2.26	358
11833	第三志愿	2.25	360
14575	第五志愿	2.24	361
7324	第四志愿	2.24	361
19948	第三志愿	2.21	363
20422	第三志愿	2.2	364
21676	第一志愿	2.19	365
15676	第一志愿	2.19	365
14590	第一志愿	2.17	367
12037	第五志愿	2.17	367
17305	第四志愿	2.16	369
23758	第三志愿	2.15	370
21685	第四志愿	2.15	370
12049	第三志愿	2.13	372
16009	第二志愿	2.08	373
14020	第二志愿	2.03	374
13081	第一志愿	2.02	375
11848	第二志愿	2.02	375
11896	第二志愿	2.01	377
24136	第一志愿	2.01	377
22756	第五志愿	1.99	379
8026	第三志愿	1.97	380
15640	第二志愿	1.93	382
23746	第一志愿	1.9	383
16186	第二志愿	1.9	383
14599	第三志愿	1.9	383
15043	第二志愿	1.76	387
15664	第四志愿	1.76	387
23173	第一志愿	1.72	389
