学号	志愿类型	GPA	平均绩点排名
13060	第五志愿	4.08	1
15715	第五志愿	4.04	2
21250	第五志愿	3.97	7
15673	第五志愿	3.91	11
19957	第五志愿	3.84	14
20431	第五志愿	3.84	14
12982	第四志愿	3.82	17
19618	第五志愿	3.74	25
16663	第四志愿	3.71	28
12571	第四志愿	3.71	28
18838	第五志愿	3.7	30
17251	第五志愿	3.69	32
15226	第四志愿	3.69	32
11899	第四志愿	3.68	35
13063	第四志愿	3.67	36
17626	第四志愿	3.62	41
15655	第四志愿	3.62	41
13087	第四志愿	3.61	44
15721	第五志愿	3.61	44
19981	第三志愿	3.56	54
16525	第五志愿	3.55	58
19966	第五志愿	3.55	58
24193	第五志愿	3.54	63
12985	第五志愿	3.52	67
7519	第三志愿	3.52	67
22063	第五志愿	3.52	67
11875	第五志愿	3.5	72
16561	第三志愿	3.49	73
19963	第四志愿	3.49	73
12070	第五志愿	3.49	73
20404	第五志愿	3.48	78
19876	第五志愿	3.47	79
15667	第四志愿	3.46	84
17071	第三志愿	3.44	90
12073	第四志愿	3.44	90
21259	第五志愿	3.42	93
16546	第四志愿	3.42	93
8062	第五志愿	3.42	93
23422	第五志愿	3.42	93
12001	第三志愿	3.41	98
11959	第五志愿	3.41	98
11920	第四志愿	3.37	104
15661	第四志愿	3.37	104
18526	第五志愿	3.36	110
18580	第四志愿	3.35	111
13084	第五志愿	3.35	111
17296	第四志愿	3.34	113
11860	第五志愿	3.34	113
13954	第四志愿	3.34	113
13732	第五志愿	3.33	116
13078	第四志愿	3.32	117
8035	第三志愿	3.31	118
19312	第三志愿	3.31	118
18445	第四志愿	3.3	122
11923	第五志愿	3.29	124
18529	第五志愿	3.29	124
13990	第五志愿	3.29	124
22795	第四志愿	3.23	136
12574	第四志愿	3.23	136
12820	第三志愿	3.22	138
17257	第五志愿	3.22	138
21991	第五志愿	3.19	142
18532	第三志愿	3.19	142
21748	第四志愿	3.17	145
17287	第四志愿	3.17	145
11887	第四志愿	3.17	145
18097	第三志愿	3.17	145
12580	第二志愿	3.15	149
13747	第四志愿	3.15	149
20689	第五志愿	3.14	152
13753	第五志愿	3.13	155
11863	第五志愿	3.13	155
17740	第四志愿	3.13	155
19972	第三志愿	3.13	155
18544	第五志愿	3.13	155
21985	第五志愿	3.13	155
15658	第五志愿	3.11	164
11998	第三志愿	3.1	167
18577	第一志愿	3.1	167
11881	第三志愿	3.09	170
13090	第三志愿	3.09	170
17284	第二志愿	3.09	170
18556	第三志愿	3.07	177
16555	第五志愿	3.06	179
12004	第二志愿	3.05	183
21973	第三志愿	3.05	183
17734	第五志愿	3.04	186
18571	第四志愿	2.99	191
18586	第二志愿	2.99	191
12067	第四志愿	2.99	191
11902	第四志愿	2.99	191
19945	第二志愿	2.98	200
17635	第四志愿	2.98	200
16183	第四志愿	2.97	202
8020	第四志愿	2.97	202
23425	第四志愿	2.95	207
11944	第五志愿	2.94	209
22759	第五志愿	2.93	211
21976	第四志愿	2.93	211
11839	第四志愿	2.93	211
11965	第五志愿	2.92	217
11872	第五志愿	2.89	221
22009	第四志愿	2.89	221
7606	第五志愿	2.89	221
11917	第三志愿	2.88	227
13600	第四志愿	2.88	227
8263	第三志愿	2.86	229
16543	第五志愿	2.85	230
13066	第五志愿	2.84	231
8017	第三志愿	2.84	231
11947	第五志愿	2.83	233
21979	第三志愿	2.83	233
11995	第四志愿	2.82	238
12577	第四志愿	2.82	238
11983	第三志愿	2.82	238
21994	第五志愿	2.82	238
19999	第二志愿	2.81	243
14596	第一志愿	2.81	243
11986	第二志愿	2.81	243
18553	第五志愿	2.8	246
11926	第五志愿	2.8	246
17299	第五志愿	2.76	250
21679	第四志愿	2.76	250
19984	第五志愿	2.76	250
22741	第五志愿	2.76	250
23416	第五志愿	2.75	254
18523	第三志愿	2.75	254
24553	第三志愿	2.74	258
23413	第三志愿	2.74	258
11935	第一志愿	2.73	261
19951	第三志愿	2.73	261
18562	第五志愿	2.73	261
8041	第四志愿	2.71	265
8260	第三志愿	2.71	265
15679	第五志愿	2.71	265
20578	第五志愿	2.71	265
11866	第五志愿	2.7	271
8059	第四志愿	2.69	277
12007	第五志愿	2.69	277
7330	第二志愿	2.69	277
8050	第四志愿	2.68	281
12028	第二志愿	2.68	281
11974	第四志愿	2.68	281
11893	第五志愿	2.68	281
20926	第五志愿	2.67	286
21682	第五志愿	2.66	287
14581	第五志愿	2.66	287
21238	第三志愿	2.65	290
17269	第五志愿	2.65	290
18541	第五志愿	2.64	293
17290	第五志愿	2.64	293
12019	第四志愿	2.63	295
6598	第三志愿	2.63	295
8029	第四志愿	2.63	295
21688	第五志愿	2.61	298
20503	第四志愿	2.61	298
20764	第四志愿	2.59	303
17308	第四志愿	2.59	303
11878	第五志愿	2.58	306
18568	第四志愿	2.58	306
21241	第五志愿	2.57	308
11989	第四志愿	2.57	308
19987	第三志愿	2.56	310
7327	第二志愿	2.55	311
15649	第四志愿	2.55	311
23410	第四志愿	2.54	313
8032	第五志愿	2.54	313
11929	第五志愿	2.54	313
15643	第三志愿	2.54	313
11941	第四志愿	2.52	317
13795	第三志愿	2.52	317
11977	第四志愿	2.5	319
16003	第三志愿	2.49	320
8602	第四志愿	2.48	322
19996	第四志愿	2.48	322
22930	第五志愿	2.46	325
15652	第二志愿	2.46	325
23755	第四志愿	2.45	327
11836	第五志愿	2.44	328
21253	第五志愿	2.44	328
16558	第三志愿	2.42	330
21673	第二志愿	2.41	331
16537	第四志愿	2.41	331
8245	第三志愿	2.41	331
14605	第一志愿	2.4	335
11857	第五志愿	2.4	335
12016	第四志愿	2.4	335
11842	第四志愿	2.37	339
13993	第四志愿	2.36	341
19267	第三志愿	2.36	341
12040	第四志愿	2.36	341
11830	第三志愿	2.35	344
21256	第四志愿	2.35	344
23419	第三志愿	2.34	346
8254	第四志愿	2.33	347
11962	第三志愿	2.31	348
14593	第四志愿	2.31	348
12583	第三志愿	2.3	350
12046	第四志愿	2.3	350
12031	第五志愿	2.3	350
21556	第三志愿	2.29	353
8605	第一志愿	2.28	355
14578	第四志愿	2.27	356
22012	第四志愿	2.27	356
21547	第四志愿	2.26	358
24133	第三志愿	2.26	358
11833	第四志愿	2.25	360
14575	第四志愿	2.24	361
7324	第三志愿	2.24	361
19948	第二志愿	2.21	363
20422	第四志愿	2.2	364
15676	第三志愿	2.19	365
14590	第二志愿	2.17	367
12037	第三志愿	2.17	367
23758	第四志愿	2.15	370
12049	第四志愿	2.13	372
14020	第一志愿	2.03	374
13081	第二志愿	2.02	375
11848	第三志愿	2.02	375
11896	第四志愿	2.01	377
24136	第三志愿	2.01	377
22756	第四志愿	1.99	379
12022	第三志愿	1.97	380
