学号	志愿类型	GPA	平均绩点排名
16192	第一志愿	3.37	104
13096	第四志愿	3.37	104
8044	第二志愿	3.37	104
22006	第二志愿	3.37	104
15661	第二志愿	3.37	104
18526	第三志愿	3.36	110
18580	第二志愿	3.35	111
13084	第二志愿	3.35	111
11860	第四志愿	3.34	113
13954	第三志愿	3.34	113
13732	第四志愿	3.33	116
13078	第一志愿	3.32	117
8035	第一志愿	3.31	118
13057	第一志愿	3.31	118
11845	第二志愿	3.31	118
19312	第二志愿	3.31	118
18445	第三志愿	3.3	122
13582	第三志愿	3.3	122
18529	第一志愿	3.29	124
20923	第五志愿	3.29	124
13990	第三志愿	3.29	124
12457	第二志愿	3.29	124
21997	第二志愿	3.28	130
15688	第二志愿	3.28	130
18547	第二志愿	3.27	132
11953	第一志愿	3.26	133
22687	第一志愿	3.25	134
18517	第五志愿	3.24	135
12574	第五志愿	3.23	136
22795	第三志愿	3.23	136
12820	第一志愿	3.22	138
17257	第二志愿	3.22	138
23176	第四志愿	3.2	140
17275	第四志愿	3.2	140
21991	第一志愿	3.19	142
16075	第三志愿	3.19	142
18532	第二志愿	3.19	142
18097	第四志愿	3.17	145
11887	第三志愿	3.17	145
21748	第二志愿	3.17	145
17287	第二志愿	3.17	145
13747	第一志愿	3.15	149
19954	第三志愿	3.14	152
20689	第三志愿	3.14	152
22933	第二志愿	3.14	152
17740	第一志愿	3.13	155
11863	第四志愿	3.13	155
13753	第三志愿	3.13	155
18544	第三志愿	3.13	155
21985	第三志愿	3.13	155
19960	第四志愿	3.12	162
15658	第四志愿	3.11	164
12013	第二志愿	3.11	164
11908	第二志愿	3.11	164
12052	第一志愿	3.1	167
11998	第四志愿	3.1	167
18577	第二志愿	3.1	167
13744	第一志愿	3.09	170
16549	第四志愿	3.09	170
17284	第四志愿	3.09	170
11881	第二志愿	3.09	170
13090	第二志愿	3.09	170
11980	第三志愿	3.08	176
18556	第二志愿	3.07	177
21244	第二志愿	3.07	177
19978	第一志愿	3.06	179
8053	第四志愿	3.06	179
16555	第三志愿	3.06	179
19993	第二志愿	3.06	179
21973	第一志愿	3.05	183
18583	第二志愿	3.05	183
17734	第一志愿	3.04	186
24784	第三志愿	3.04	186
8599	第二志愿	3.04	186
16552	第二志愿	3.03	189
13645	第三志愿	3	190
18571	第一志愿	2.99	191
18586	第一志愿	2.99	191
14572	第一志愿	2.99	191
11851	第五志愿	2.99	191
17266	第五志愿	2.99	191
18538	第三志愿	2.99	191
11902	第三志愿	2.99	191
12067	第二志愿	2.99	191
19945	第一志愿	2.98	200
17635	第三志愿	2.98	200
16183	第三志愿	2.97	202
18565	第二志愿	2.97	202
11956	第四志愿	2.96	205
22744	第三志愿	2.96	205
23425	第二志愿	2.95	207
11944	第三志愿	2.94	209
11992	第二志愿	2.94	209
21976	第一志愿	2.93	211
22924	第四志愿	2.93	211
13957	第三志愿	2.93	211
11869	第三志愿	2.93	211
11839	第三志愿	2.93	211
22759	第二志愿	2.93	211
7321	第三志愿	2.92	217
11965	第二志愿	2.92	217
17272	第四志愿	2.91	219
22681	第四志愿	2.91	219
21970	第一志愿	2.89	221
22009	第五志愿	2.89	221
11872	第四志愿	2.89	221
7606	第三志愿	2.89	221
12025	第二志愿	2.89	221
11917	第一志愿	2.88	227
13600	第三志愿	2.88	227
8263	第一志愿	2.86	229
16543	第一志愿	2.85	230
8017	第一志愿	2.84	231
13066	第三志愿	2.84	231
11947	第一志愿	2.83	233
17260	第一志愿	2.83	233
19309	第一志愿	2.83	233
21553	第三志愿	2.83	233
21979	第二志愿	2.83	233
12577	第一志愿	2.82	238
22000	第一志愿	2.82	238
11995	第三志愿	2.82	238
21994	第三志愿	2.82	238
14596	第五志愿	2.81	243
11986	第四志愿	2.81	243
19999	第三志愿	2.81	243
11926	第四志愿	2.8	246
18553	第三志愿	2.8	246
14602	第二志愿	2.77	249
19984	第四志愿	2.76	250
22741	第四志愿	2.76	250
17299	第三志愿	2.76	250
21679	第三志愿	2.76	250
13102	第一志愿	2.75	254
14587	第五志愿	2.75	254
18523	第五志愿	2.75	254
14584	第一志愿	2.74	258
24553	第二志愿	2.74	258
23413	第二志愿	2.74	258
11935	第二志愿	2.73	261
11890	第二志愿	2.73	261
8041	第一志愿	2.71	265
7609	第一志愿	2.71	265
8260	第一志愿	2.71	265
11968	第三志愿	2.71	265
15679	第三志愿	2.71	265
12061	第一志愿	2.7	271
22927	第一志愿	2.7	271
11866	第三志愿	2.7	271
8047	第三志愿	2.7	271
8059	第一志愿	2.69	277
7330	第四志愿	2.69	277
12007	第三志愿	2.69	277
7333	第二志愿	2.69	277
13069	第一志愿	2.68	281
12028	第一志愿	2.68	281
11974	第一志愿	2.68	281
11893	第三志愿	2.68	281
20926	第二志愿	2.67	286
14581	第一志愿	2.66	287
21550	第一志愿	2.66	287
21682	第三志愿	2.66	287
17269	第一志愿	2.65	290
8257	第五志愿	2.65	290
21238	第二志愿	2.65	290
17290	第一志愿	2.64	293
18541	第二志愿	2.64	293
6598	第四志愿	2.63	295
12019	第三志愿	2.63	295
20503	第一志愿	2.61	298
21688	第三志愿	2.61	298
12034	第五志愿	2.6	300
6586	第四志愿	2.6	300
17308	第一志愿	2.59	303
12064	第二志愿	2.59	303
18568	第一志愿	2.58	306
11878	第三志愿	2.58	306
11989	第一志愿	2.57	308
21241	第四志愿	2.57	308
19987	第四志愿	2.56	310
15649	第三志愿	2.55	311
23410	第一志愿	2.54	313
8032	第三志愿	2.54	313
13795	第四志愿	2.52	317
11941	第三志愿	2.52	317
11977	第二志愿	2.5	319
16003	第一志愿	2.49	320
15040	第三志愿	2.49	320
8602	第三志愿	2.48	322
19996	第二志愿	2.48	322
12010	第一志愿	2.47	324
22930	第三志愿	2.46	325
15652	第三志愿	2.46	325
21253	第一志愿	2.44	328
11836	第四志愿	2.44	328
16558	第四志愿	2.42	330
21673	第一志愿	2.41	331
16537	第一志愿	2.41	331
13108	第四志愿	2.41	331
14605	第四志愿	2.4	335
11857	第四志愿	2.4	335
23752	第二志愿	2.38	338
11842	第三志愿	2.37	339
13072	第三志愿	2.37	339
12040	第一志愿	2.36	341
19267	第五志愿	2.36	341
13993	第二志愿	2.36	341
21256	第一志愿	2.35	344
23419	第二志愿	2.34	346
8254	第三志愿	2.33	347
12583	第一志愿	2.3	350
12046	第一志愿	2.3	350
12031	第四志愿	2.3	350
21556	第二志愿	2.29	353
8605	第三志愿	2.28	355
22012	第一志愿	2.27	356
24133	第一志愿	2.26	358
21547	第二志愿	2.26	358
11833	第二志愿	2.25	360
14575	第一志愿	2.24	361
7324	第五志愿	2.24	361
19948	第一志愿	2.21	363
20422	第二志愿	2.2	364
21676	第二志愿	2.19	365
15676	第二志愿	2.19	365
12037	第一志愿	2.17	367
17305	第二志愿	2.16	369
23758	第五志愿	2.15	370
12049	第二志愿	2.13	372
16009	第一志愿	2.08	373
13081	第四志愿	2.02	375
11848	第四志愿	2.02	375
24136	第四志愿	2.01	377
11896	第三志愿	2.01	377
22756	第三志愿	1.99	379
12022	第二志愿	1.97	380
8026	第二志愿	1.97	380
15640	第三志愿	1.93	382
14599	第一志愿	1.9	383
23746	第五志愿	1.9	383
21967	第三志愿	1.84	386
15043	第一志愿	1.76	387
