学号	志愿类型	GPA	平均绩点排名
13060	第二志愿	4.08	1
15715	第三志愿	4.04	2
18091	第五志愿	4.03	3
17302	第三志愿	4.02	4
19975	第二志愿	3.99	6
21250	第三志愿	3.97	7
18094	第二志愿	3.97	7
17263	第二志愿	3.97	7
8056	第一志愿	3.93	10
15673	第二志愿	3.91	11
22684	第二志愿	3.89	12
14026	第二志愿	3.87	13
19957	第三志愿	3.84	14
18559	第二志愿	3.84	14
20431	第二志愿	3.84	14
12982	第三志愿	3.82	17
13099	第一志愿	3.8	18
17311	第三志愿	3.8	18
17281	第三志愿	3.78	20
15682	第一志愿	3.77	21
12055	第二志愿	3.77	21
19618	第三志愿	3.74	25
13951	第四志愿	3.72	27
16663	第一志愿	3.71	28
12571	第三志愿	3.71	28
18838	第三志愿	3.7	30
11971	第三志愿	3.7	30
17251	第三志愿	3.69	32
17743	第二志愿	3.69	32
15226	第二志愿	3.69	32
11899	第三志愿	3.68	35
17278	第一志愿	3.66	38
19879	第四志愿	3.65	39
11938	第二志愿	3.65	39
17626	第一志愿	3.62	41
17068	第三志愿	3.62	41
15655	第二志愿	3.62	41
15721	第四志愿	3.61	44
13087	第三志愿	3.61	44
19969	第二志愿	3.61	44
13075	第二志愿	3.6	47
16180	第二志愿	3.6	47
24202	第三志愿	3.59	49
11686	第四志愿	3.58	50
24091	第四志愿	3.58	50
19981	第一志愿	3.56	54
20005	第一志愿	3.56	54
11950	第三志愿	3.56	54
21982	第一志愿	3.55	58
21988	第三志愿	3.55	58
16525	第三志愿	3.55	58
19966	第二志愿	3.55	58
24193	第三志愿	3.54	63
11800	第三志愿	3.53	65
21247	第二志愿	3.53	65
16792	第三志愿	3.52	67
22063	第三志愿	3.52	67
12985	第二志愿	3.52	67
7519	第二志愿	3.52	67
15631	第三志愿	3.51	71
11875	第二志愿	3.5	72
23809	第一志愿	3.49	73
19963	第一志愿	3.49	73
12070	第四志愿	3.49	73
16561	第二志愿	3.49	73
8038	第二志愿	3.49	73
20404	第三志愿	3.48	78
16540	第二志愿	3.47	79
19876	第二志愿	3.47	79
11911	第二志愿	3.47	79
11905	第二志愿	3.47	79
15667	第一志愿	3.46	84
22699	第三志愿	3.46	84
16006	第二志愿	3.46	84
15685	第一志愿	3.45	89
17071	第一志愿	3.44	90
12073	第三志愿	3.44	90
21259	第一志愿	3.42	93
8062	第一志愿	3.42	93
16546	第五志愿	3.42	93
23422	第二志愿	3.42	93
13750	第一志愿	3.41	98
13594	第一志愿	3.41	98
17737	第一志愿	3.41	98
12001	第二志愿	3.41	98
23749	第二志愿	3.41	98
11920	第一志愿	3.37	104
